	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_5plus_only_first	pct_5plus_first	pct_5plus_second	pct_5plus_tot
4720	2021-07-10	Northwest Territories	NT	60876	28748	32128	0.0	3380	7.548012505582849	71.74631531933899	64.19830281375613	135.94461813309513	8.085734623079773	76.8575390444695	68.77180442138973	145.62934346585925
4721	2021-07-11	Northwest Territories	NT	60876	28748	32128	0.0	3380	7.548012505582849	71.74631531933899	64.19830281375613	135.94461813309513	8.085734623079773	76.8575390444695	68.77180442138973	145.62934346585925
4722	2021-07-12	Northwest Territories	NT	61741	29287	32454	326.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4723	2021-07-13	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4724	2021-07-14	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4725	2021-07-15	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4726	2021-07-16	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4727	2021-07-17	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4728	2021-07-18	Northwest Territories	NT	61741	29287	32454	0.0	3167	7.072353729343457	72.47431889236266	65.4019651630192	137.87628405538186	7.576189808075042	77.63740575663637	70.06121594856133	147.6986217051977
4729	2021-07-19	Northwest Territories	NT	62725	29940	32785	331.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4730	2021-07-20	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4731	2021-07-21	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4732	2021-07-22	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4733	2021-07-23	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4734	2021-07-24	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4735	2021-07-25	Northwest Territories	NT	62725	29940	32785	0.0	2845	6.353282715497991	73.21348816435909	66.8602054488611	140.0736936132202	6.80589201262188	78.42923361469538	71.62334160207348	150.05257521676887
4736	2021-07-26	Northwest Territories	NT	63564	30497	33067	282.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4737	2021-07-27	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4738	2021-07-28	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4739	2021-07-29	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4740	2021-07-30	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4741	2021-07-31	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4742	2021-08-01	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
