	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_12plus_only_first	pct_12plus_first	pct_12plus_second	pct_12plus_tot
26	2020-02-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	2020-02-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	2020-02-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	2020-02-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	2020-02-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	2020-02-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	2020-02-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	2020-02-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	2020-02-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	2020-02-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	2020-03-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	2020-03-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	2020-03-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	2020-03-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	2020-03-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	2020-03-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	2020-03-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	2020-03-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	2020-03-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	2020-03-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	2020-03-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	2020-03-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	2020-03-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	2020-03-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	2020-03-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	2020-03-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	2020-03-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	2020-03-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	2020-03-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	2020-03-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	2020-03-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	2020-03-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	2020-03-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	2020-03-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	2020-03-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	2020-03-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	2020-03-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	2020-03-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	2020-03-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	2020-03-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	2020-03-31	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	2020-04-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	2020-04-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	2020-04-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	2020-04-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	2020-04-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	2020-04-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	2020-04-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	2020-04-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	2020-04-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	2020-04-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	2020-04-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	2020-04-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	2020-04-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	2020-04-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	2020-04-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	2020-04-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	2020-04-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	2020-04-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	2020-04-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	2020-04-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	2020-04-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	2020-04-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	2020-04-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	2020-04-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	2020-04-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	2020-04-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	2020-04-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	2020-04-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	2020-04-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	2020-04-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	2020-05-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	2020-05-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	2020-05-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	2020-05-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	2020-05-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	2020-05-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	2020-05-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	2020-05-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	2020-05-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
106	2020-05-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
